timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1536581503912,59,ShopCart,200,OK,Thread Group 1-8,text,true,,289,444,5,5,59,0,0
1536581503971,55,GetJobId,200,OK,Thread Group 1-7,text,true,,391,250,5,5,55,0,0
1536581503971,55,GetJobId,200,OK,Thread Group 1-9,text,true,,391,250,5,5,55,0,0
1536581503971,71,MediaUpload,200,OK,Thread Group 1-8,text,true,,327,102084,5,5,71,0,0
1536581503888,154,MediaUpload,200,OK,Thread Group 1-6,text,true,,327,102049,5,5,154,0,15
1536581503888,154,MediaUpload,200,OK,Thread Group 1-10,text,true,,327,102074,5,5,154,0,15
1536581504042,9,GetJobId,200,OK,Thread Group 1-8,text,true,,391,250,4,4,9,0,0
1536581504042,9,GetJobId,200,OK,Thread Group 1-10,text,true,,391,250,4,4,9,0,0
1536581504026,66,ShopCart,200,OK,Thread Group 1-7,text,true,,289,444,4,4,66,0,0
1536581504026,71,ShopCart,200,OK,Thread Group 1-9,text,true,,289,444,4,4,71,0,0
1536581504052,69,ShopCart,200,OK,Thread Group 1-8,text,true,,289,444,4,4,69,0,0
1536581504052,69,ShopCart,200,OK,Thread Group 1-10,text,true,,289,444,4,4,69,0,0
1536581504093,51,MediaUpload,200,OK,Thread Group 1-7,text,true,,327,102069,4,4,51,0,0
1536581504097,58,MediaUpload,200,OK,Thread Group 1-9,text,true,,327,102059,3,3,58,0,0
1536581504156,11,GetJobId,200,OK,Thread Group 1-9,text,true,,391,250,3,3,11,0,0
1536581504121,67,MediaUpload,200,OK,Thread Group 1-10,text,true,,327,102059,3,3,67,0,0
1536581504121,67,MediaUpload,200,OK,Thread Group 1-8,text,true,,327,102044,3,3,67,0,0
1536581504189,9,GetJobId,200,OK,Thread Group 1-10,text,true,,391,250,2,2,9,0,0
1536581504167,46,ShopCart,200,OK,Thread Group 1-9,text,true,,289,444,2,2,46,0,0
1536581504198,31,ShopCart,200,OK,Thread Group 1-10,text,true,,289,444,2,2,31,0,0
1536581504213,40,MediaUpload,200,OK,Thread Group 1-9,text,true,,327,102089,2,2,40,0,0
1536581504254,14,GetJobId,200,OK,Thread Group 1-9,text,true,,391,250,2,2,14,0,0
1536581504229,42,MediaUpload,200,OK,Thread Group 1-10,text,true,,327,102064,2,2,42,0,0
1536581504271,10,GetJobId,200,OK,Thread Group 1-10,text,true,,391,250,2,2,10,0,0
1536581504269,19,ShopCart,200,OK,Thread Group 1-9,text,true,,289,444,2,2,19,0,0
1536581504282,35,ShopCart,200,OK,Thread Group 1-10,text,true,,289,444,2,2,35,0,0
1536581504288,51,MediaUpload,200,OK,Thread Group 1-9,text,true,,327,102054,2,2,51,0,0
1536581504340,8,GetJobId,200,OK,Thread Group 1-9,text,true,,391,250,2,2,8,0,0
